Classifier,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.871875,0.8722385141739981,0.871875,0.8718437118437119
Decision Tree,0.675,0.6777777777777778,0.675,0.6737254901960784
Random Forest,0.834375,0.8391576528388605,0.834375,0.8337890414449376
K Nearest Neighbors,0.7875,0.7930402930402931,0.7875,0.7864908355900939
Multinomial Naive Bayes,0.853125,0.8605759642614974,0.853125,0.8523623013418933
Support Vector Machine,0.871875,0.8720057832831856,0.871875,0.8718637380238498
Multilayer Perceptron,0.86875,0.8708359522313011,0.86875,0.8685651697699891
