Classifier,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.865625,0.8657535852448127,0.865625,0.8656131886591595
Decision Tree,0.6875,0.6876172607879926,0.6875,0.6874511642444132
Random Forest,0.84375,0.8438037193311455,0.84375,0.843743896245947
K Nearest Neighbors,0.771875,0.782478996712529,0.771875,0.7697138181567247
Multinomial Naive Bayes,0.85625,0.8608165849026743,0.85625,0.8557937223245424
Support Vector Machine,0.878125,0.878494623655914,0.878125,0.8780952380952382
Multilayer Perceptron,0.865625,0.8680547363454052,0.865625,0.8654028621455332
